Name,"Team","Position","DateStart","DateEnd","NumberOfGames","Minutes","Goal","Assist","ChanceAssist","KeyPass","KeyLoss","DuelLossInBox","DuelLossOutBox","MissBlockShot","RescueAction","Finalization","KeyIndividualAction","KeyRecover","DuelWinInBox","BlockShot","PktOff","PktDef"
Igor Szwajdych (10),U-17,ŚP,2025-09-20,2025-09-21,1,60,0,0,0,2,-2,0,-2,0,0,1,2,2,2,0,3,2
Igor Szwajdych (10),U-17,ŚP,2025-09-29,2025-09-30,1,55,3,0,2,0,0,0,0,0,0,1,2,0,2,0,8,2
Igor Szwajdych (10),U-17,ŚP,2025-10-04,2025-10-05,1,55,0,2,0,2,-2,0,0,0,0,1,0,0,0,0,3,0
Igor Szwajdych (10),U-17,ŚP,2025-10-11,2025-10-12,1,90,3,0,2,4,0,0,0,0,0,1,2,0,0,0,12,0
Igor Szwajdych (10),U-17,ŚP,2025-10-18,2025-10-19,2,90,0,2,2,0,0,0,0,-1,0,0,0,0,0,0,4,-1
Igor Szwajdych (10),U-17,ŚP,2025-10-25,2025-10-26,1,60,6,4,2,0,0,0,0,0,0,1,2,2,0,0,15,2
Igor Szwajdych (10),U-17,ŚP,2025-10-29,2025-10-29,1,45,6,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0
Igor Szwajdych (10),U-17,ŚP,2025-11-08,2025-11-09,1,60,0,0,0,0,0,0,0,0,0,2,2,2,0,0,4,2
Igor Szwajdych (10),U-17,ŚP,2025-11-14,2025-11-16,1,60,0,0,0,2,0,0,0,0,0,0,4,0,0,0,6,0
Igor Szwajdych (10),U-17,ŚP,2025-11-21,2025-11-23,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Igor Szwajdych (10),U-17,ŚP,2025-11-29,2025-11-30,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Igor Szwajdych (10),U-17,ŚP,2025-12-06,2025-12-07,1,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Igor Szwajdych (10),U-17,ŚP,2025-12-13,2025-12-14,2,120,0,0,0,3,0,0,0,0,0,1,2,2,0,0,6,2
Iwo Ostrowski (10),U-17,LO/LŚO,2025-09-20,2025-09-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iwo Ostrowski (10),U-17,LŚO/LO,2025-09-29,2025-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iwo Ostrowski (10),U-17,LO/LŚO,2025-10-04,2025-10-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iwo Ostrowski (10),U-17,LO/LŚO,2025-10-18,2025-10-19,2,90,3,0,0,0,-2,-2,0,0,0,0,0,0,0,0,1,-2
Iwo Ostrowski (10),U-17,LO/LŚO,2025-10-25,2025-10-26,1,17,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
Iwo Ostrowski (10),U-17,LŚO/LO,2025-10-29,2025-10-29,1,45,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Iwo Ostrowski (10),U-17,LO/LŚO,2025-11-08,2025-11-09,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iwo Ostrowski (10),U-17,ŚO/LŚO/PŚO/LO,2025-11-14,2025-11-16,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iwo Ostrowski (10),U-17,ŚO/LŚO/PŚO/LO,2025-11-21,2025-11-23,1,90,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
Iwo Ostrowski (10),U-17,ŚO/LŚO/PŚO/LO,2025-11-29,2025-11-30,1,90,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3
Iwo Ostrowski (10),U-17,ŚO/LŚO/PŚO/LO,2025-12-06,2025-12-07,1,45,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
Jakub Wilczek (06),C2,LŚO,2025-09-20,2025-09-21,1,45,0,0,0,0,0,-2,0,-1,0,0,0,0,2,0,0,-1
